id,title,url,organisation,Wikidata Q number,Wikidata urls,format,date,is_alive,type1,type2,additional,description,Extracted_Locations,postcode
182006,Chamber Studio,https://www.chamberstudio.co.uk/,Chamber Studio,,,website,03/04/2023,False,Music,MUSIC : RECORDING STUDIO,,"Site of a recording studio in Granton, Edinburgh.","Edinburgh, Granton",
182007,Tommy Ashby on Bandcamp,https://tommyashby.bandcamp.com/,Tommy Ashby,,,website,03/04/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of a singer-songwriter and musician based in Scotland.,,
182147,David Heavenor,https://www.davidheavenormusic.com/,David Heavenor,,,website,05/04/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of a Scottish singer-songwriter and musician.,,
184424,Fright Years,https://www.frightyearsband.com/,Fright Years,,,website,01/05/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of a band from Edinburgh.,"Edinburgh",
184461,"Katuns, The",https://www.thekatuns.co.uk/,The Katuns,,,website,01/05/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,"Site of an alternative-indie band from Livingston, West Lothian.","West Lothian, Livingston",
186445,Emma Dunlop on Bandcamp,https://emmadunlop.bandcamp.com/,Emma Dunlop,,,website,06/06/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,Site of a Scottish singer-songwriter.,,
189352,Gallus [band],https://www.gallusareaband.co.uk/,Gallus [band],,,website,21/07/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
189398,Michael M on Bandcamp,https://michaelmisrubbish.bandcamp.com/,Michael M on Bandcamp,,,website,24/07/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
192349,BEAK,https://beak.bandcamp.com/,BEAK,,,website,05/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
192501,Cheerbleederz on Bandcamp,https://cheerbleederz.bandcamp.com/,Cheerbleederz on Bandcamp,,,website,06/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
192556,Crass on Bandcamp,https://crass.bandcamp.com/,Crass on Bandcamp,,,website,07/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
192559,Buzzcocks,https://www.buzzcocks.com/,Buzzcocks,,,website,07/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
192561,Cornershop,https://www.cornershop.com/,Cornershop,,,website,07/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
192671,Big Lanes on Bandcamp,https://biglanes.bandcamp.com/,Big Lanes on Bandcamp,,,website,11/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
192881,Goldfrapp,https://www.goldfrapp.com/,Goldfrapp,,,website,13/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
192882,Graham Coxon,https://www.grahamcoxon.co.uk/,Graham Coxon,,,website,13/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
192884,"Jam, The",https://www.thejamofficial.com/,"Jam, The",,,website,13/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
192885,Small Faces,https://www.thesmallfaces.com/,Small Faces,,,website,13/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
192887,Ray Davies,https://www.raydavies.info/,Ray Davies,,,website,13/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
192888,Led Zeppelin,https://www.ledzeppelin.com/,Led Zeppelin,,,website,13/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
192889,Robert Plant,https://www.robertplant.com/,Robert Plant,,,website,13/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
192891,John Bonham,https://johnbonham.co.uk/,John Bonham,,,website,13/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
192892,Blancmange,http://www.blancmange.co.uk/,Blancmange,,,website,13/09/2023,False,Music,"MUSIC : INDIE, POP, ALTERNATIVE & ROCK",,,,
