id,title,url,organisation,Wikidata Q number,Wikidata urls,format,date,is_alive,type1,type2,additional,description,Extracted_Locations,postcode
49700,Leven Amateur Musical Association.,http://www.levenmusical.org.uk/,Leven Amateur Musical Association,,,website,23/02/2017,False,Music,"THEATRE / VENUE, THEATRE COMPANY",,"Site of an amateur musical theatre association based in Leven, Fife.","Leven",
49701,Markinch Amateur Operatic Society,http://www.maos.org.uk/,Markinch Amateur Operatic Society,,,website,23/02/2017,True,Music,"THEATRE / VENUE, THEATRE COMPANY",,"Site of an amateur musical theatre and operatic society based in Markinch, Fife.","Markinch",
49702,Rosyth and District Musical Society,http://www.rdmsfife.org/,Rosyth and District Musical Society,,,website,23/02/2017,False,Music,"THEATRE / VENUE, THEATRE COMPANY",,"Site of a amateur musical theatre society based in Rosyth, Fife.","Rosyth",
49704,Glenrothes Amateur Musical Association,http://www.gama-fife.co.uk/,Glenrothes Amateur Musical Association,,,website,23/02/2017,True,Music,"THEATRE / VENUE, THEATRE COMPANY",,"Site of an amateur musical theatre association based in Glenrothes, Fife.",,
49705,Fife Opera,http://www.fifeopera.org.uk/,Fife Opera,Q3656529,https://www.wikidata.org/wiki/Q3656529,website,23/02/2017,True,Music,"THEATRE / VENUE, THEATRE COMPANY",,"Site of an opera company located in Kirkcaldy, Fife, Scotland.","Kirkcaldy",
49718,Ensemble,http://www.ensembleinfife.org.uk/,Ensemble,,,website,23/02/2017,True,Music,"THEATRE / VENUE, THEATRE COMPANY",,"Site of a choral music group based in Fife and including work from opera, operetta and musicals in their repertoire.","Fife",
49783,Edinburgh Gilbert & Sullivan Society,http://www.edgas.org/,Edinburgh Gilbert & Sullivan Society,,,website,27/02/2017,True,Music,"THEATRE / VENUE, THEATRE COMPANY",,Site of an amateur operatic society established to foster appreciation of the works of W.S. Gilbert and Sir Arthur Sullivan.,"Edinburgh",
49785,Lochgelly Brass Band,http://www.lochgellyband.com/,Lochgelly Band,,,website,27/02/2017,False,Music,MUSIC : BRASS BAND,,"Site of an amateur brass ban based in Lochgelly, Fife.",,
49788,Kirkcaldy Choral Union,http://kirkcaldychoral.org.uk/,Kirkcaldy Choral Union,,,website,28/02/2017,True,Music,MUSIC : CHOIRS,,"Site of an amateur choir based in Kirkcaldy, Fife.","Kirkcaldy",
49789,Kingdom Singers,http://www.freewebs.com/thekingdomsingers/,Kingdom Singers,,,website,28/02/2017,True,Music,MUSIC : CHOIRS,,"Site of a choral group / choir based in Fife, Scotland.","Fife",
49790,LAMA Youth,http://www.lamayouth.org.uk/,Leven Amateur Musical Association,,,website,28/02/2017,False,Music,MUSIC,,"Site of the young people's branch of an amateur musical theatre company based in Leven, Fife.","Leven",
49791,Opera Bohemia,http://www.operabohemia.co.uk/,Opera Bohemia,Q25112109,https://www.wikidata.org/wiki/Q25112109,website,28/02/2017,True,Music,MUSIC : OPERA,,"Site of an opera company based in Edinburgh, aiming to increase operatic performances across Scotland, increase opportunities for professional artists in all areas of opera, to introduce opera to first time opera goers and a younger generation.","Edinburgh",
49792,Opera Scotland,http://www.operascotland.org/,Opera Scotland,,,website,28/02/2017,True,Music,MUSIC : OPERA,,"Site providing listings of opera performances in Scotland, and of an archive of Scottish opera performances and the history of opera in Scotland.",,
49793,Tayside Opera Company,http://www.taysideopera.com/,Tayside Opera Company,,,website,28/02/2017,True,Music,MUSIC : OPERA,,Site of an amateur opera company based in Dundee. See also http://www.taysideopera.org.uk/.,"Dundee",
50710,National Youth Orchestras of Scotland,http://www.nyos.co.uk/,National Youth Orchestra of Scotland,Q6979513,https://www.wikidata.org/wiki/Q6979513,website,17/03/2017,True,Music,MUSIC : ORCHESTRAS,,"Site of an organisation providing a complete orchestral experience for Scottish resident students aged between 8 and 25, through its comprehensive pathway of orchestras, jazz bands, training ensembles and outreach programme.",,
51030,Wide Days : Scotland's Music Convention,http://www.widedays.com/,Wide Days,,,website,23/03/2017,True,Music,MUSIC,,"Site of an annual music convention, for musicians and people working in the Scottish music industry, based in Edinburgh.","Edinburgh",
51031,Scottish Music Industry Association,https://www.smia.org.uk/,Scottish Music Industry Association,Q61930730,https://www.wikidata.org/wiki/Q61930730,website,23/03/2017,True,Music,MUSIC,,"Site of an organisation established as a trade body to promote and serve the best interests of Scotland’s music industry, and to strengthen and champion the industry in Scotland.",,
51054,Newcastleton Traditional Music Festival,http://www.newcastleton.com/,Newcastleton Traditional Music Festival,,,website,23/03/2017,True,Music,MUSIC,,Site of an annual folk and traditional music festival located at Newcastleton in the Scottish Borders.,"Newcastleton",
51055,Born to be Wide,http://borntobewide.co.uk/,Born To Be Wide Community Interest Company,,,website,23/03/2017,True,Music,MUSIC,,"Site of a community interest company, based in central Scotland, which stages music business seminars, the Wide Days convention/showcase and the Off The Record youth events, while organising bespoke talks and workshops for other conferences, festivals and organisations.",,
51059,Scottish Album of the Year Award,http://www.sayaward.com/,Scottish Music Industry Association,,,website,23/03/2017,True,Music,MUSIC,,"Site for an annual award given to the outstanding musical album in a given year, while celebrating, promoting and rewarding the eligible artists, who are either Scots or are based in Scotland.",,
51141,Scottish Chamber Choir,http://scottishchamberchoir.org.uk/,Scottish Chamber Choir,,,website,23/03/2017,True,Music,MUSIC : CHOIRS,,Site of a Scottish choir based in Edinburgh performing classical works and workshops.,"Edinburgh",
51491,Jazz Scotland,http://www.jazzscotland.com/,Jazz Scotland,,,website,29/03/2017,True,Music,MUSIC : JAZZ,,"Site of a Scottish independent jazz promoter that presents high quality events for audiences and musicians across Scotland, while aiming to contribute to a vibrant jazz scene through the growth of distinctive festivals and the development of jazz audiences through regular provision and strong marketing; grow roots in the communities where we work by evoking a strong sense of place and championing local partners and local musicians; welcome more people to jazz by engaging digitally with audiences and potential audiences; to provide education in jazz technique.",,
51658,Friends of Caird Hall Organ,http://focho.org/,Friends of Caird Hall Organ,,,website,31/03/2017,True,Music,MUSIC,,Site of group established to foster contact among all those interested in the Caird Hall organ and to promote its use and raise funds to protect its long-term future.,,
